  2,782,853,184  99% - ...
         20,304   0%                                - run-with-timer
         20,304   0%                                 - run-at-time
         11,376   0%                                  - timer-activate
         11,376   0%                                   - timer--activate
         11,376   0%                                      timer--time-less-p
          5,472   0%                                    timer-relative-time
          3,456   0%                                  - timer-set-time
          3,456   0%                                     timer--time-setter
          6,768   0%                              - seed7-re-search-backward
          6,768   0%                               - run-with-timer
          6,768   0%                                - run-at-time
          3,792   0%                                 - timer-activate
          3,792   0%                                  - timer--activate
          3,792   0%                                     timer--time-less-p
          1,824   0%                                   timer-relative-time
          1,152   0%                                 - timer-set-time
          1,152   0%                                    timer--time-setter
         44,912   0%                             - seed7-line-after-short-func-end
         13,040   0%                              - seed7-to-block-backward
         13,040   0%                               - seed7-re-search-backward
          6,768   0%                                - run-with-timer
          6,768   0%                                 - run-at-time
          3,792   0%                                  - timer-activate
          3,792   0%                                   - timer--activate
          3,792   0%                                      timer--time-less-p
          1,824   0%                                    timer-relative-time
          1,152   0%                                  - timer-set-time
          1,152   0%                                     timer--time-setter
          6,272   0%                                  re-search-backward
         42,616   0%                             - seed7-line-inside-assign-statement-continuation
         42,616   0%                              - seed7-assign-op-pos
         42,616   0%                               - seed7-re-search-backward
         24,568   0%                                  re-search-backward
         18,048   0%                                - run-with-timer
         18,048   0%                                 - run-at-time
         10,112   0%                                  - timer-activate
         10,112   0%                                   - timer--activate
         10,112   0%                                      timer--time-less-p
          4,864   0%                                    timer-relative-time
          3,072   0%                                  - timer-set-time
          3,072   0%                                     timer--time-setter
         40,504   0%                             - seed7-line-at-endof-set-definition-block
         33,840   0%                              - seed7-line-code-ends-with
         33,840   0%                               - seed7-re-search-backward
         33,840   0%                                - run-with-timer
         33,840   0%                                 - run-at-time
         18,960   0%                                  - timer-activate
         18,960   0%                                   - timer--activate
         18,960   0%                                      timer--time-less-p
          9,120   0%                                    timer-relative-time
          5,760   0%                                  - timer-set-time
          5,760   0%                                     timer--time-setter
          4,512   0%                              - backward-sexp
          4,512   0%                               - forward-sexp
          4,512   0%                                - seed7--forward-sexp-function
          2,256   0%                                 - seed7--at-array-definition-end-line-p
          2,256   0%                                  - seed7-line-code-ends-with
          2,256   0%                                   - seed7-re-search-backward
          2,256   0%                                    - run-with-timer
          2,256   0%                                     - run-at-time
          1,264   0%                                      - timer-activate
          1,264   0%                                       - timer--activate
          1,264   0%                                          timer--time-less-p
            608   0%                                        timer-relative-time
            384   0%                                      - timer-set-time
            384   0%                                         timer--time-setter
          2,256   0%                                 - seed7--at-set-definition-end-line-p
          2,256   0%                                  - seed7-line-code-ends-with
          2,256   0%                                   - seed7-re-search-backward
          2,256   0%                                    - run-with-timer
          2,256   0%                                     - run-at-time
          1,264   0%                                      - timer-activate
          1,264   0%                                       - timer--activate
          1,264   0%                                          timer--time-less-p
            608   0%                                        timer-relative-time
            384   0%                                      - timer-set-time
            384   0%                                         timer--time-setter
          1,128   0%                              - seed7-re-search-backward
          1,128   0%                               - run-with-timer
          1,128   0%                                - run-at-time
            632   0%                                 - timer-activate
            632   0%                                  - timer--activate
            632   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                looking-at
         39,333   0%                             - seed7-line-inside-array-definition-block
         37,285   0%                              - seed7-re-search-backward
         19,237   0%                                 re-search-backward
         18,048   0%                               - run-with-timer
         18,048   0%                                - run-at-time
         10,112   0%                                 - timer-activate
         10,112   0%                                  - timer--activate
         10,112   0%                                     timer--time-less-p
          4,864   0%                                   timer-relative-time
          3,072   0%                                 - timer-set-time
          3,072   0%                                    timer--time-setter
          2,048   0%                              - forward-sexp
          2,048   0%                                 seed7--forward-sexp-function
         16,384   0%                             - seed7-line-isa-string
         16,384   0%                                seed7-line-starts-with
         16,384   0%                               seed7-line-starts-with
         10,240   0%                               seed7-line-after-func-return-logic-operator-column
          9,856   0%                               seed7-line-indent-step
          9,216   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          9,216   0%                                seed7-line-starts-with
          3,176   0%                             - seed7-line-inside-argument-list-section
          2,152   0%                              - seed7-re-search-backward
          1,128   0%                               - run-with-timer
          1,128   0%                                - run-at-time
            632   0%                                 - timer-activate
            632   0%                                  - timer--activate
            632   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
          1,024   0%                              - seed7-line-is-procfunc-beg-of-decl
          1,024   0%                                 seed7-line-starts-with
          3,072   0%                             - seed7--current-line-nth-word
          3,072   0%                              - thing-at-point
          3,072   0%                               - bounds-of-thing-at-point
          3,072   0%                                  re-search-forward
          2,152   0%                             - seed7-line-inside-logic-check-expression
          2,152   0%                              - seed7-to-previous-line-starts-with
          2,152   0%                               - seed7-re-search-backward
          1,128   0%                                - run-with-timer
          1,128   0%                                 - run-at-time
            632   0%                                  - timer-activate
            632   0%                                   - timer--activate
            632   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,152   0%                             - seed7-line-inside-until-logic-expression
          2,152   0%                              - seed7-re-search-backward
          1,128   0%                               - run-with-timer
          1,128   0%                                - run-at-time
            632   0%                                 - timer-activate
            632   0%                                  - timer--activate
            632   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
          2,152   0%                             - seed7-line-inside-func-return-statement
          2,152   0%                              - seed7-re-search-backward
          1,128   0%                               - run-with-timer
          1,128   0%                                - run-at-time
            632   0%                                 - timer-activate
            632   0%                                  - timer--activate
            632   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
            193   0%                             - seed7--indent-search-boundary
            193   0%                              - seed7--indent-search-boundary-uncached
            193   0%                               - syntax-ppss
            193   0%                                  #<byte-code-function 203>
    120,693,726   4%                            - seed7--safe-enclosing-block-bounds
    120,693,726   4%                             - seed7--block-end-pos-for
    104,844,757   3%                              - seed7-to-block-forward
     60,875,546   2%                               - seed7-end-of-defun
     59,015,946   2%                                - seed7-top-block-name
     58,966,631   2%                                 - seed7--to-top
     58,532,351   2%                                  - seed7-re-search-backward
     58,480,936   2%                                   - run-with-timer
     58,480,936   2%                                    - run-at-time
     35,960,237   1%                                     - timer-activate
     35,960,237   1%                                      - timer--activate
     35,960,237   1%                                         timer--time-less-p
     13,802,768   0%                                       timer-relative-time
      8,717,931   0%                                     - timer-set-time
      8,717,568   0%                                        timer--time-setter
         14,720   0%                                     re-search-backward
            277   0%                                     make-closure
        434,280   0%                                  - run-with-timer
        434,280   0%                                   - run-at-time
        243,320   0%                                    - timer-activate
        243,320   0%                                     - timer--activate
        243,320   0%                                        timer--time-less-p
        117,040   0%                                      timer-relative-time
         73,920   0%                                    - timer-set-time
         73,920   0%                                       timer--time-setter
         49,315   0%                                 - seed7--block-name
         43,219   0%                                    seed7-re-search-forward
          6,096   0%                                    match-string
      1,137,032   0%                                  match-string
        434,280   0%                                - seed7-re-search-backward
        434,280   0%                                 - run-with-timer
        434,280   0%                                  - run-at-time
        243,320   0%                                   - timer-activate
        243,320   0%                                    - timer--activate
        243,320   0%                                       timer--time-less-p
        117,040   0%                                     timer-relative-time
         73,920   0%                                   - timer-set-time
         73,920   0%                                      timer--time-setter
        147,033   0%                                - seed7-re-search-forward
         72,165   0%                                 - seed7-inside-comment-p
         72,165   0%                                  - syntax-ppss
         72,165   0%                                   - syntax-propertize
         72,165   0%                                      seed7-mode-syntax-propertize
          4,096   0%                                 - internal--syntax-propertize
          4,096   0%                                  - syntax-propertize
          4,096   0%                                     seed7-mode-syntax-propertize
         40,920   0%                                  match-string-no-properties
     29,505,943   1%                               - seed7-re-search-forward
     12,958,630   0%                                - seed7-inside-comment-p
     12,958,630   0%                                 - syntax-ppss
     12,958,630   0%                                  - syntax-propertize
     12,958,630   0%                                     seed7-mode-syntax-propertize
     10,086,952   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
      4,024,348   0%                               - seed7--current-line-nth-word
      4,024,348   0%                                - thing-at-point
      3,251,868   0%                                 - bounds-of-thing-at-point
      1,747,928   0%                                  - #<byte-code-function D25>
      1,743,192   0%                                   - forward-thing
      1,743,192   0%                                      format
      1,306,396   0%                                  - #<byte-code-function C42>
      1,306,396   0%                                   - forward-thing
      1,301,256   0%                                      format
          5,140   0%                                      intern-soft
        197,544   0%                                    re-search-forward
        319,176   0%                                 seed7--end-regexp-for
         32,792   0%                               - seed7-inside-comment-p
         32,792   0%                                - syntax-ppss
         32,792   0%                                   parse-partial-sexp
     11,060,625   0%                              - seed7-re-search-forward-closest
     11,060,625   0%                               - seed7-re-search-forward
      9,580,433   0%                                - seed7-inside-comment-p
      9,580,433   0%                                 - syntax-ppss
      9,580,433   0%                                  - syntax-propertize
      9,580,433   0%                                     seed7-mode-syntax-propertize
        158,072   0%                              - seed7--line-ends-a-statement-p
        147,832   0%                                 looking-at
         10,240   0%                               - forward-sexp
