  1,864,906,036  99% - ...
     50,072,887   2%                              - forward-thing
     49,418,167   2%                               - forward-word
     49,418,167   2%                                - internal--syntax-propertize
     49,418,167   2%                                 - syntax-propertize
     49,418,167   2%                                    seed7-mode-syntax-propertize
        654,720   0%                                 format
         24,552   0%                             - #<byte-code-function 979>
         24,552   0%                              - forward-thing
         24,552   0%                                 format
          1,152   0%                               re-search-forward
     41,087,651   2%                          - seed7-line-is-defun-end
     25,223,886   1%                             looking-back
      6,621,168   0%                           - seed7-move-to-line
      6,621,168   0%                              seed7-to-previous-non-empty-line
      4,298,490   0%                           - seed7-beg-of-defun
      3,112,743   0%                            - seed7-re-search-backward
      2,981,304   0%                             - run-with-timer
      2,981,304   0%                              - run-at-time
      1,470,504   0%                               - timer-activate
      1,470,504   0%                                - timer--activate
      1,470,504   0%                                 - timer--time-less-p
         32,792   0%                                    timer--time
        925,968   0%                                 timer-relative-time
        584,832   0%                               - timer-set-time
        584,832   0%                                  timer--time-setter
        131,439   0%                               re-search-backward
        453,598   0%                            - seed7-re-search-backward-closest
        453,598   0%                             - seed7-re-search-backward
        294,846   0%                                re-search-backward
        158,752   0%                              - run-with-timer
        158,752   0%                               - run-at-time
         77,408   0%                                - timer-activate
         77,408   0%                                 - timer--activate
         77,408   0%                                    timer--time-less-p
         49,856   0%                                  timer-relative-time
         31,488   0%                                - timer-set-time
         31,488   0%                                   timer--time-setter
        163,680   0%                              match-string-no-properties
         96,744   0%                              match-string
         22,969   0%                            - seed7-top-block-name
         11,840   0%                             - seed7--to-top
          7,968   0%                              - seed7-re-search-backward
          4,096   0%                                 re-search-backward
          3,872   0%                               - run-with-timer
          3,872   0%                                - run-at-time
          1,888   0%                                 - timer-activate
          1,888   0%                                  - timer--activate
          1,888   0%                                     timer--time-less-p
          1,216   0%                                   timer-relative-time
            768   0%                                 - timer-set-time
            768   0%                                    timer--time-setter
          3,872   0%                              - run-with-timer
          3,872   0%                               - run-at-time
          1,888   0%                                - timer-activate
          1,888   0%                                 - timer--activate
          1,888   0%                                    timer--time-less-p
          1,216   0%                                  timer-relative-time
            768   0%                                - timer-set-time
            768   0%                                   timer--time-setter
         11,129   0%                             - seed7--block-name
         11,129   0%                                seed7-re-search-forward
         16,368   0%                              seed7--no-defun-found-msg-for
      2,504,779   0%                           - seed7-line-starts-with-any
      2,504,779   0%                              seed7-line-starts-with
      1,706,466   0%                           - seed7--current-line-nth-word
      1,706,466   0%                            - thing-at-point
      1,410,306   0%                             - bounds-of-thing-at-point
        990,264   0%                              - #<byte-code-function A2B>
        990,264   0%                               - forward-thing
        990,264   0%                                  format
        417,994   0%                              - #<byte-code-function 5CE>
        417,384   0%                               - forward-thing
        417,384   0%                                  format
          2,048   0%                                re-search-forward
        544,412   0%                           - seed7-end-of-defun
        484,000   0%                            - seed7-top-block-name
        484,000   0%                             - seed7--to-top
        468,512   0%                              - seed7-re-search-backward
        468,512   0%                               - run-with-timer
        468,512   0%                                - run-at-time
        228,448   0%                                 - timer-activate
        228,448   0%                                  - timer--activate
        228,448   0%                                     timer--time-less-p
        147,136   0%                                   timer-relative-time
         92,928   0%                                 - timer-set-time
         92,928   0%                                    timer--time-setter
         15,488   0%                              - run-with-timer
         15,488   0%                               - run-at-time
          7,552   0%                                - timer-activate
          7,552   0%                                 - timer--activate
          7,552   0%                                    timer--time-less-p
          4,864   0%                                  timer-relative-time
          3,072   0%                                - timer-set-time
          3,072   0%                                   timer--time-setter
         34,852   0%                            - seed7-re-search-forward
         26,660   0%                             - seed7-inside-comment-p
         26,660   0%                              - syntax-ppss
         26,660   0%                               - syntax-propertize
         26,660   0%                                  seed7-mode-syntax-propertize
         15,488   0%                            - seed7-re-search-backward
         15,488   0%                             - run-with-timer
         15,488   0%                              - run-at-time
          7,552   0%                               - timer-activate
          7,552   0%                                - timer--activate
          7,552   0%                                   timer--time-less-p
          4,864   0%                                 timer-relative-time
          3,072   0%                               - timer-set-time
          3,072   0%                                  timer--time-setter
          1,016   0%                              match-string
        188,450   0%                           - seed7--safe-current-line-defun-start-indent
        188,450   0%                            - seed7-to-block-backward
        159,834   0%                             - seed7-re-search-backward
         85,298   0%                                re-search-backward
         74,536   0%                              - run-with-timer
         74,536   0%                               - run-at-time
         36,344   0%                                - timer-activate
         36,344   0%                                 - timer--activate
         36,344   0%                                    timer--time-less-p
         23,408   0%                                  timer-relative-time
         14,784   0%                                - timer-set-time
         14,784   0%                                   timer--time-setter
         28,616   0%                             - seed7--current-line-nth-word
         28,616   0%                              - thing-at-point
         16,368   0%                               - bounds-of-thing-at-point
         16,368   0%                                - #<byte-code-function 98D>
         16,368   0%                                 - forward-thing
         16,368   0%                                    format
     15,016,936   0%                          - seed7-line-inside-set-definition-block
     15,016,936   0%                           - seed7-re-search-backward
      8,671,952   0%                              re-search-backward
      6,344,984   0%                            - run-with-timer
      6,344,984   0%                             - run-at-time
      3,094,656   0%                              - timer-activate
      3,094,656   0%                               - timer--activate
      3,094,656   0%                                - timer--time-less-p
         32,792   0%                                   timer--time
      2,004,824   0%                                timer-relative-time
      1,245,504   0%                              - timer-set-time
      1,245,504   0%                                 timer--time-setter
     14,263,761   0%                          - seed7-line-inside-assign-statement-continuation
     14,229,024   0%                           - seed7-assign-op-pos
     14,229,024   0%                            - seed7-re-search-backward
      7,824,248   0%                               re-search-backward
      6,339,192   0%                             - run-with-timer
      6,339,192   0%                              - run-at-time
      3,091,824   0%                               - timer-activate
      3,091,824   0%                                - timer--activate
      3,091,824   0%                                 - timer--time-less-p
         32,792   0%                                    timer--time
      2,003,016   0%                                 timer-relative-time
      1,244,352   0%                               - timer-set-time
      1,244,352   0%                                  timer--time-setter
         32,792   0%                             - seed7-inside-string-p
         32,792   0%                              - syntax-ppss
         32,792   0%                                 parse-partial-sexp
         32,792   0%                             - seed7-inside-comment-p
         32,792   0%                                syntax-ppss
         34,737   0%                           - seed7-statement-end-pos
         34,737   0%                            - seed7-forward-char-pos
         34,737   0%                             - seed7-re-search-forward
         32,792   0%                              - seed7-inside-comment-p
         32,792   0%                               - syntax-ppss
         32,792   0%                                  parse-partial-sexp
          1,945   0%                              - seed7-inside-string-p
          1,945   0%                               - syntax-ppss
          1,945   0%                                  #<byte-code-function C8A>
     13,712,711   0%                          - seed7-line-inside-array-definition-block
     13,712,711   0%                           - seed7-re-search-backward
      7,433,295   0%                              re-search-backward
      6,279,416   0%                            - run-with-timer
      6,279,416   0%                             - run-at-time
      3,061,864   0%                              - timer-activate
      3,061,864   0%                               - timer--activate
      3,061,864   0%                                  timer--time-less-p
      1,972,048   0%                                timer-relative-time
      1,245,504   0%                              - timer-set-time
      1,245,504   0%                                 timer--time-setter
     13,672,060   0%                          - seed7-line-inside-logic-check-expression
     13,304,844   0%                           - seed7-to-previous-line-starts-with
     12,920,196   0%                            - seed7-re-search-backward
      6,684,460   0%                               re-search-backward
      6,202,944   0%                             - run-with-timer
      6,202,944   0%                              - run-at-time
      3,024,576   0%                               - timer-activate
      3,024,576   0%                                - timer--activate
      3,024,576   0%                                   timer--time-less-p
      1,948,032   0%                                 timer-relative-time
      1,230,336   0%                               - timer-set-time
      1,230,336   0%                                  timer--time-setter
         32,792   0%                             - seed7-inside-string-p
         32,792   0%                              - syntax-ppss
         32,792   0%                                 parse-partial-sexp
        334,424   0%                           - seed7--current-line-nth-word
        334,424   0%                            - thing-at-point
         81,840   0%                             - bounds-of-thing-at-point
         49,104   0%                              - #<byte-code-function A29>
         49,104   0%                               - forward-thing
         49,104   0%                                  format
         32,736   0%                              - #<byte-code-function AF5>
         32,736   0%                               - forward-thing
         32,736   0%                                  format
         32,792   0%                           - seed7-re-search-forward
         32,792   0%                            - seed7-inside-comment-p
         32,792   0%                             - syntax-ppss
         32,792   0%                                parse-partial-sexp
     12,120,134   0%                          - seed7--indent-search-boundary
      3,150,675   0%                           - seed7--indent-search-boundary-uncached
      2,066,872   0%                            - syntax-ppss
      1,770,768   0%                               parse-partial-sexp
            809   0%                               syntax-table
            167   0%                               #<byte-code-function 193>
          1,667   0%                              seed7-to-indent
      8,777,176   0%                            seed7-line-starts-with
      6,867,637   0%                          - seed7-line-after-func-return-logic-operator-column
         75,365   0%                           - seed7-move-to-line
         75,365   0%                            - seed7-to-previous-non-empty-line
            333   0%                               seed7-inside-comment-p
      6,657,512   0%                          - seed7-line-isa-string
      6,657,512   0%                             seed7-line-starts-with
      2,892,111   0%                          - seed7-line-inside-argument-list-section
      1,896,908   0%                           - seed7-re-search-backward
      1,139,084   0%                              re-search-backward
        757,824   0%                            - run-with-timer
        757,824   0%                             - run-at-time
        386,320   0%                              - timer-activate
        386,320   0%                               - timer--activate
        386,320   0%                                - timer--time-less-p
         32,792   0%                                   timer--time
        227,696   0%                                timer-relative-time
        143,808   0%                              - timer-set-time
        143,808   0%                                 timer--time-setter
        956,163   0%                           - seed7-line-is-procfunc-beg-of-decl
        956,163   0%                              seed7-line-starts-with
         39,040   0%                           - forward-sexp
         39,040   0%                              seed7--forward-sexp-function
      1,548,920   0%                          - seed7-line-inside-until-logic-expression
      1,548,920   0%                           - seed7-re-search-backward
        790,128   0%                              re-search-backward
        758,792   0%                            - run-with-timer
        758,792   0%                             - run-at-time
        386,792   0%                              - timer-activate
        386,792   0%                               - timer--activate
        386,792   0%                                - timer--time-less-p
         32,792   0%                                   timer--time
        228,000   0%                                timer-relative-time
        144,000   0%                              - timer-set-time
        144,000   0%                                 timer--time-setter
      1,508,072   0%                          - seed7-line-inside-func-return-statement
      1,508,072   0%                           - seed7-re-search-backward
        782,072   0%                              re-search-backward
        726,000   0%                            - run-with-timer
        726,000   0%                             - run-at-time
        354,000   0%                              - timer-activate
        354,000   0%                               - timer--activate
        354,000   0%                                  timer--time-less-p
        228,000   0%                                timer-relative-time
        144,000   0%                              - timer-set-time
        144,000   0%                                 timer--time-setter
      1,363,131   0%                          - seed7-comment-column
      1,278,651   0%                           - seed7-calc-indent
        275,651   0%                            - seed7-line-inside-a-block-cached
        275,651   0%                             - seed7-line-inside-a-block
        128,979   0%                              - seed7--safe-enclosing-block-bounds
        128,979   0%                               - seed7--block-end-pos-for
        128,979   0%                                - seed7-to-block-forward
