  1,291,047,898  99% - ...
          8,608   0%                              - seed7-to-block-backward
          8,608   0%                               - seed7-re-search-backward
          4,512   0%                                - run-with-timer
          4,512   0%                                 - run-at-time
          2,528   0%                                  - timer-activate
          2,528   0%                                   - timer--activate
          2,528   0%                                      timer--time-less-p
          1,216   0%                                    timer-relative-time
            768   0%                                  - timer-set-time
            768   0%                                     timer--time-setter
          4,096   0%                                  re-search-backward
         11,280   0%                             - seed7-line-at-endof-set-definition-block
         11,280   0%                              - seed7-line-code-ends-with
         11,280   0%                               - seed7-re-search-backward
         11,280   0%                                - run-with-timer
         11,280   0%                                 - run-at-time
          6,320   0%                                  - timer-activate
          6,320   0%                                   - timer--activate
          6,320   0%                                      timer--time-less-p
          3,040   0%                                    timer-relative-time
          1,920   0%                                  - timer-set-time
          1,920   0%                                     timer--time-setter
         10,952   0%                             - seed7-line-inside-array-definition-block
         10,952   0%                              - seed7-re-search-backward
          5,640   0%                               - run-with-timer
          5,640   0%                                - run-at-time
          3,160   0%                                 - timer-activate
          3,160   0%                                  - timer--activate
          3,160   0%                                     timer--time-less-p
          1,520   0%                                   timer-relative-time
            960   0%                                 - timer-set-time
            960   0%                                    timer--time-setter
          5,312   0%                                 re-search-backward
         10,952   0%                             - seed7-line-inside-set-definition-block
         10,952   0%                              - seed7-re-search-backward
          5,640   0%                               - run-with-timer
          5,640   0%                                - run-at-time
          3,160   0%                                 - timer-activate
          3,160   0%                                  - timer--activate
          3,160   0%                                     timer--time-less-p
          1,520   0%                                   timer-relative-time
            960   0%                                 - timer-set-time
            960   0%                                    timer--time-setter
          5,312   0%                                 re-search-backward
         10,760   0%                             - seed7-line-inside-assign-statement-continuation
         10,760   0%                              - seed7-assign-op-pos
         10,760   0%                               - seed7-re-search-backward
          5,640   0%                                - run-with-timer
          5,640   0%                                 - run-at-time
          3,160   0%                                  - timer-activate
          3,160   0%                                   - timer--activate
          3,160   0%                                      timer--time-less-p
          1,520   0%                                    timer-relative-time
            960   0%                                  - timer-set-time
            960   0%                                     timer--time-setter
          5,120   0%                                  re-search-backward
          5,328   0%                             - seed7-line-inside-parens-pair-column
          5,328   0%                              - seed7-line-inside-parens-pair
          3,280   0%                               - seed7-re-search-backward
          2,256   0%                                - run-with-timer
          2,256   0%                                 - run-at-time
          1,264   0%                                  - timer-activate
          1,264   0%                                   - timer--activate
          1,264   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,048   0%                               - forward-sexp
          2,048   0%                                  seed7--forward-sexp-function
          5,120   0%                             - seed7-line-isa-string
          5,120   0%                                seed7-line-starts-with
          5,120   0%                               seed7-line-starts-with
          3,072   0%                               seed7-line-after-func-return-logic-operator-column
          1,024   0%                             - seed7--current-line-nth-word
          1,024   0%                              - thing-at-point
          1,024   0%                               - bounds-of-thing-at-point
          1,024   0%                                  re-search-forward
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-indent-step
         34,816   0%                              seed7--indent-offset-for
     70,987,889   5%                          - seed7-line-is-defun-end
     27,423,538   2%                             looking-back
     19,418,336   1%                           - seed7-end-of-defun
     17,742,696   1%                            - seed7-top-block-name
     17,726,384   1%                             - seed7--to-top
     17,387,984   1%                              - seed7-re-search-backward
     17,387,984   1%                               - run-with-timer
     17,387,984   1%                                - run-at-time
     10,692,000   0%                                 - timer-activate
     10,692,000   0%                                  - timer--activate
     10,692,000   0%                                     timer--time-less-p
      4,103,984   0%                                   timer-relative-time
      2,592,000   0%                                 - timer-set-time
      2,592,000   0%                                    timer--time-setter
        338,400   0%                              - run-with-timer
        338,400   0%                               - run-at-time
        189,600   0%                                - timer-activate
        189,600   0%                                 - timer--activate
        189,600   0%                                    timer--time-less-p
         91,200   0%                                  timer-relative-time
         57,600   0%                                - timer-set-time
         57,600   0%                                   timer--time-setter
         16,312   0%                             - seed7--block-name
         16,312   0%                                match-string
        446,368   0%                            - seed7-re-search-forward
        232,872   0%                             - seed7-inside-comment-p
        232,872   0%                              - syntax-ppss
        232,872   0%                               - syntax-propertize
        232,872   0%                                  seed7-mode-syntax-propertize
        338,400   0%                            - seed7-re-search-backward
        338,400   0%                             - run-with-timer
        338,400   0%                              - run-at-time
        189,600   0%                               - timer-activate
        189,600   0%                                - timer--activate
        189,600   0%                                   timer--time-less-p
         91,200   0%                                 timer-relative-time
         57,600   0%                               - timer-set-time
         57,600   0%                                  timer--time-setter
        327,360   0%                              match-string-no-properties
        324,040   0%                              match-string
      8,127,264   0%                           - seed7-move-to-line
      8,127,264   0%                              seed7-to-previous-non-empty-line
      7,732,261   0%                           - seed7-beg-of-defun
      5,440,802   0%                            - seed7-re-search-backward
      5,114,336   0%                             - run-with-timer
      5,114,336   0%                              - run-at-time
      2,865,488   0%                               - timer-activate
      2,865,488   0%                                - timer--activate
      2,865,488   0%                                   timer--time-less-p
      1,378,320   0%                                 timer-relative-time
        870,528   0%                               - timer-set-time
        870,528   0%                                  timer--time-setter
        326,466   0%                               re-search-backward
        705,005   0%                            - seed7-top-block-name
        368,312   0%                             - seed7--to-top
        255,512   0%                              - seed7-re-search-backward
        128,800   0%                               - run-with-timer
        128,800   0%                                - run-at-time
         79,200   0%                                 - timer-activate
         79,200   0%                                  - timer--activate
         79,200   0%                                     timer--time-less-p
         30,400   0%                                   timer-relative-time
         19,200   0%                                 - timer-set-time
         19,200   0%                                    timer--time-setter
        126,712   0%                                 re-search-backward
