  1,631,454,889  99% - ...
      2,593,640   0%                                        timer--time-less-p
      1,670,464   0%                                      timer-relative-time
      1,055,040   0%                                    - timer-set-time
      1,055,040   0%                                       timer--time-setter
         20,328   0%                                 - run-with-timer
         20,328   0%                                  - run-at-time
          9,912   0%                                   - timer-activate
          9,912   0%                                    - timer--activate
          9,912   0%                                       timer--time-less-p
          6,384   0%                                     timer-relative-time
          4,032   0%                                   - timer-set-time
          4,032   0%                                      timer--time-setter
         41,278   0%                               - seed7-re-search-forward
         26,686   0%                                - seed7-inside-comment-p
         26,686   0%                                 - syntax-ppss
         26,686   0%                                  - syntax-propertize
         26,686   0%                                     seed7-mode-syntax-propertize
         20,328   0%                               - seed7-re-search-backward
         20,328   0%                                - run-with-timer
         20,328   0%                                 - run-at-time
          9,912   0%                                  - timer-activate
          9,912   0%                                   - timer--activate
          9,912   0%                                      timer--time-less-p
          6,384   0%                                    timer-relative-time
          4,032   0%                                  - timer-set-time
          4,032   0%                                     timer--time-setter
          8,184   0%                                 match-string-no-properties
          6,096   0%                                 match-string
        548,433   0%                              - seed7-beg-of-defun
        357,211   0%                               - seed7-re-search-backward
        334,928   0%                                - run-with-timer
        334,928   0%                                 - run-at-time
        163,312   0%                                  - timer-activate
        163,312   0%                                   - timer--activate
        163,312   0%                                      timer--time-less-p
        105,184   0%                                    timer-relative-time
         66,432   0%                                  - timer-set-time
         66,432   0%                                     timer--time-setter
         22,283   0%                                  re-search-backward
         42,628   0%                               - seed7-top-block-name
         21,908   0%                                - seed7--block-name
         21,908   0%                                   seed7-re-search-forward
         20,720   0%                                - seed7--to-top
         13,944   0%                                 - seed7-re-search-backward
          7,168   0%                                    re-search-backward
          6,776   0%                                  - run-with-timer
          6,776   0%                                   - run-at-time
          3,304   0%                                    - timer-activate
          3,304   0%                                     - timer--activate
          3,304   0%                                        timer--time-less-p
          2,128   0%                                      timer-relative-time
          1,344   0%                                    - timer-set-time
          1,344   0%                                       timer--time-setter
          6,776   0%                                 - run-with-timer
          6,776   0%                                  - run-at-time
          3,304   0%                                   - timer-activate
          3,304   0%                                    - timer--activate
          3,304   0%                                       timer--time-less-p
          2,128   0%                                     timer-relative-time
          1,344   0%                                   - timer-set-time
          1,344   0%                                      timer--time-setter
         32,082   0%                               - seed7-re-search-backward-closest
         32,082   0%                                - seed7-re-search-backward
         18,530   0%                                   re-search-backward
         13,552   0%                                 - run-with-timer
         13,552   0%                                  - run-at-time
          6,608   0%                                   - timer-activate
          6,608   0%                                    - timer--activate
          6,608   0%                                       timer--time-less-p
          4,256   0%                                     timer-relative-time
          2,688   0%                                   - timer-set-time
          2,688   0%                                      timer--time-setter
         27,600   0%                                 match-string
          8,184   0%                                 match-string-no-properties
         96,895   0%                              - seed7-line-starts-with-any
         96,895   0%                                 seed7-line-starts-with
         55,808   0%                                looking-back
         13,440   0%                              - seed7-move-to-line
         13,440   0%                                 seed7-to-previous-non-empty-line
          8,184   0%                              - seed7--current-line-nth-word
          8,184   0%                               - thing-at-point
          8,184   0%                                - bounds-of-thing-at-point
          8,184   0%                                 - #<byte-code-function D3B>
          8,184   0%                                  - forward-thing
          8,184   0%                                     format
        113,936   0%                             - seed7-line-at-endof-array-definition-block
         62,672   0%                              - seed7-line-code-ends-with
         62,672   0%                               - seed7-re-search-backward
         40,656   0%                                - run-with-timer
         40,656   0%                                 - run-at-time
         19,824   0%                                  - timer-activate
         19,824   0%                                   - timer--activate
         19,824   0%                                      timer--time-less-p
         12,768   0%                                    timer-relative-time
          8,064   0%                                  - timer-set-time
          8,064   0%                                     timer--time-setter
         22,016   0%                                  re-search-backward
         30,976   0%                              - backward-sexp
         30,976   0%                               - forward-sexp
         30,976   0%                                - seed7--forward-sexp-function
         15,488   0%                                 - seed7--at-array-definition-end-line-p
         15,488   0%                                  - seed7-line-code-ends-with
         15,488   0%                                   - seed7-re-search-backward
         15,488   0%                                    - run-with-timer
         15,488   0%                                     - run-at-time
          7,552   0%                                      - timer-activate
