  6,881,923,517  98% - ...
          4,144   0%                                  make-closure
         24,448   0%                              - backward-sexp
         24,448   0%                               - forward-sexp
         24,448   0%                                - seed7--forward-sexp-function
         12,224   0%                                 - seed7--at-array-definition-end-line-p
         12,224   0%                                  - seed7-line-code-ends-with
         12,224   0%                                   - seed7-re-search-backward
         12,224   0%                                    - run-with-timer
         12,224   0%                                     - run-at-time
          4,144   0%                                        timer-create
          3,120   0%                                      - timer-activate
          3,120   0%                                       - timer--activate
          3,120   0%                                          timer--time-less-p
          3,040   0%                                        timer-relative-time
          1,920   0%                                      - timer-set-time
          1,920   0%                                         timer--time-setter
         12,224   0%                                 - seed7--at-set-definition-end-line-p
         12,224   0%                                  - seed7-line-code-ends-with
         12,224   0%                                   - seed7-re-search-backward
          8,080   0%                                    - run-with-timer
          8,080   0%                                     - run-at-time
          3,120   0%                                      - timer-activate
          3,120   0%                                       - timer--activate
          3,120   0%                                          timer--time-less-p
          3,040   0%                                        timer-relative-time
          1,920   0%                                      - timer-set-time
          1,920   0%                                         timer--time-setter
          4,144   0%                                      seed7-inside-string-p
          9,312   0%                              - seed7-move-to-line
          9,312   0%                               - seed7-to-previous-non-empty-line
          4,144   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
          8,184   0%                              - seed7-re-search-backward
          4,144   0%                                 seed7-inside-comment-p
          4,040   0%                               - run-with-timer
          4,040   0%                                - run-at-time
          1,560   0%                                 - timer-activate
          1,560   0%                                  - timer--activate
          1,560   0%                                     timer--time-less-p
          1,520   0%                                   timer-relative-time
            960   0%                                 - timer-set-time
            960   0%                                    timer--time-setter
          5,248   0%                                looking-at
        118,704   0%                             - seed7-line-after-short-func-end
         75,768   0%                              - seed7-to-block-backward
         46,760   0%                               - seed7-re-search-backward
         21,504   0%                                  re-search-backward
         21,112   0%                                - run-with-timer
         21,112   0%                                 - run-at-time
         10,696   0%                                  - timer-activate
         10,696   0%                                   - timer--activate
         10,696   0%                                      timer--time-less-p
          6,384   0%                                    timer-relative-time
          4,032   0%                                  - timer-set-time
          4,032   0%                                     timer--time-setter
          4,144   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
         16,576   0%                               - seed7--current-line-nth-word
         12,432   0%                                - thing-at-point
         12,432   0%                                 - bounds-of-thing-at-point
          8,288   0%                                    make-closure
          4,144   0%                                 seed7-inside-line-indent-before-comment-p
          4,144   0%                              - seed7-move-to-line
          4,144   0%                               - seed7-to-previous-non-empty-line
          4,144   0%                                  seed7-inside-comment-p
         95,176   0%                             - seed7-line-inside-array-definition-block
         56,216   0%                              - seed7-re-search-backward
         31,872   0%                                 re-search-backward
         20,200   0%                               - run-with-timer
         20,200   0%                                - run-at-time
          7,800   0%                                 - timer-activate
          7,800   0%                                  - timer--activate
          7,800   0%                                     timer--time-less-p
          7,600   0%                                   timer-relative-time
          4,800   0%                                 - timer-set-time
          4,800   0%                                    timer--time-setter
          4,144   0%                               - seed7-inside-comment-p
          4,144   0%                                - syntax-ppss
          4,144   0%                                   make-closure
         34,816   0%                              - forward-sexp
         34,816   0%                                 seed7--forward-sexp-function
         83,848   0%                             - seed7-line-is-defun-end
         47,832   0%                                looking-back
         17,488   0%                              - seed7--current-line-nth-word
         17,488   0%                               - thing-at-point
         16,472   0%                                - bounds-of-thing-at-point
          8,184   0%                                 - #<byte-code-function D57>
          8,184   0%                                  - forward-thing
          8,184   0%                                     format
          4,144   0%                                   make-closure
          4,144   0%                                 - seq-some
          4,144   0%                                    make-closure
         14,384   0%                              - seed7-move-to-line
         14,384   0%                               - seed7-to-previous-non-empty-line
          4,144   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
         66,648   0%                             - seed7-line-inside-assign-statement-continuation
         62,504   0%                              - seed7-assign-op-pos
         62,504   0%                               - seed7-re-search-backward
         25,728   0%                                  re-search-backward
         20,200   0%                                - run-with-timer
         20,200   0%                                 - run-at-time
          7,800   0%                                  - timer-activate
          7,800   0%                                   - timer--activate
          7,800   0%                                      timer--time-less-p
          7,600   0%                                    timer-relative-time
          4,800   0%                                  - timer-set-time
          4,800   0%                                     timer--time-setter
         12,432   0%                                - seed7-inside-string-p
          8,288   0%                                 - syntax-ppss
          8,288   0%                                    make-closure
          4,144   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
          4,144   0%                              - seed7-statement-end-pos
          4,144   0%                               - seed7-forward-char-pos
          4,144   0%                                - seed7-re-search-forward
          4,144   0%                                 - seed7-inside-string-p
          4,144   0%                                  - syntax-ppss
          4,144   0%                                     make-closure
         65,649   0%                             - seed7-line-inside-set-definition-block
         65,649   0%                              - seed7-re-search-backward
         37,161   0%                                 re-search-backward
         28,488   0%                               - run-with-timer
         28,488   0%                                - run-at-time
          8,288   0%                                   timer-create
          7,800   0%                                 - timer-activate
          7,800   0%                                  - timer--activate
          7,800   0%                                     timer--time-less-p
          7,600   0%                                   timer-relative-time
          4,800   0%                                 - timer-set-time
          4,800   0%                                    timer--time-setter
         49,600   0%                             - seed7-line-at-endof-set-definition-block
         49,600   0%                              - seed7-line-code-ends-with
         45,456   0%                               - seed7-re-search-backward
         45,456   0%                                - run-with-timer
         45,456   0%                                 - run-at-time
         22,640   0%                                  - timer-activate
         22,640   0%                                   - timer--activate
         22,640   0%                                      timer--time-less-p
         13,984   0%                                    timer-relative-time
          8,832   0%                                  - timer-set-time
          8,832   0%                                     timer--time-setter
         37,928   0%                             - seed7-line-isa-string
         37,928   0%                                seed7-line-starts-with
         36,144   0%                             - seed7-line-inside-parens-pair-column
         36,144   0%                              - seed7-line-inside-parens-pair
         34,096   0%                               - seed7-re-search-backward
         25,856   0%                                - run-with-timer
         25,856   0%                                 - run-at-time
          9,984   0%                                  - timer-activate
          9,984   0%                                   - timer--activate
          9,984   0%                                      timer--time-less-p
          9,728   0%                                    timer-relative-time
          6,144   0%                                  - timer-set-time
          6,144   0%                                     timer--time-setter
          4,144   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
          4,096   0%                                  re-search-backward
          2,048   0%                               - forward-sexp
          2,048   0%                                  seed7--forward-sexp-function
         26,112   0%                               seed7-line-starts-with
         21,680   0%                               seed7-line-after-func-return-logic-operator-column
