  2,170,186,132  99% - ...
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-indent-step
         62,032   0%                              match-string
         19,584   0%                              seed7--indent-offset-for
     24,368,809   1%                          - seed7--current-line-nth-word
     24,368,809   1%                           - thing-at-point
     24,212,577   1%                            - bounds-of-thing-at-point
     24,149,017   1%                             - #<byte-code-function 7C7>
     24,149,017   1%                              - forward-thing
     24,018,073   1%                               - forward-word
     24,018,073   1%                                - internal--syntax-propertize
     24,013,929   1%                                 - syntax-propertize
     24,013,929   1%                                    seed7-mode-syntax-propertize
        130,944   0%                                 format
         57,288   0%                             - #<byte-code-function 2B9>
         57,288   0%                              - forward-thing
         57,288   0%                                 format
          6,272   0%                               re-search-forward
     18,874,575   0%                          - seed7-line-is-defun-end
      9,530,239   0%                             looking-back
      4,381,983   0%                           - seed7-end-of-defun
      3,181,376   0%                            - seed7-top-block-name
      3,177,312   0%                             - seed7--to-top
      3,021,648   0%                              - seed7-re-search-backward
      3,021,648   0%                               - run-with-timer
      3,021,648   0%                                - run-at-time
      1,858,032   0%                                 - timer-activate
      1,858,032   0%                                  - timer--activate
      1,858,032   0%                                     timer--time-less-p
        713,184   0%                                   timer-relative-time
        450,432   0%                                 - timer-set-time
        450,432   0%                                    timer--time-setter
        155,664   0%                              - run-with-timer
        155,664   0%                               - run-at-time
         87,216   0%                                - timer-activate
         87,216   0%                                 - timer--activate
         87,216   0%                                    timer--time-less-p
         41,952   0%                                  timer-relative-time
         26,496   0%                                - timer-set-time
         26,496   0%                                   timer--time-setter
          4,064   0%                             - seed7--block-name
          4,064   0%                                match-string
        805,757   0%                            - seed7-re-search-forward
        711,549   0%                             - seed7-inside-comment-p
        711,549   0%                              - syntax-ppss
        711,549   0%                               - syntax-propertize
        711,549   0%                                  seed7-mode-syntax-propertize
        155,664   0%                            - seed7-re-search-backward
        155,664   0%                             - run-with-timer
        155,664   0%                              - run-at-time
         87,216   0%                               - timer-activate
         87,216   0%                                - timer--activate
         87,216   0%                                   timer--time-less-p
         41,952   0%                                 timer-relative-time
         26,496   0%                               - timer-set-time
         26,496   0%                                  timer--time-setter
         64,232   0%                              match-string
         32,736   0%                              match-string-no-properties
      1,570,028   0%                           - seed7-beg-of-defun
        608,343   0%                            - seed7-re-search-backward
        476,016   0%                             - run-with-timer
        476,016   0%                              - run-at-time
        266,704   0%                               - timer-activate
        266,704   0%                                - timer--activate
        266,704   0%                                   timer--time-less-p
        128,288   0%                                 timer-relative-time
         81,024   0%                               - timer-set-time
         81,024   0%                                  timer--time-setter
        132,327   0%                               re-search-backward
        306,849   0%                            - seed7-top-block-name
        163,845   0%                             - seed7--to-top
        111,957   0%                              - seed7-re-search-backward
         59,248   0%                               - run-with-timer
         59,248   0%                                - run-at-time
         36,432   0%                                 - timer-activate
         36,432   0%                                  - timer--activate
