      2,269,730 100% - ...
      2,269,730 100%  - #<primitive-function call-interactively>
      2,269,730 100%   - funcall-interactively
      2,269,730 100%    - smex
      2,269,730 100%     - smex-read-and-run
      2,269,730 100%      - execute-extended-command
      2,269,730 100%       - command-execute
      2,269,730 100%        - call-interactively
      2,269,730 100%         - apply
      2,269,730 100%          - call-interactively@ido-cr+-record-current-command
      2,269,730 100%           - #<primitive-function call-interactively>
      2,269,730 100%            - funcall-interactively
      2,269,730 100%             - pel-profile-all
      2,269,730 100%              - pel-profile-dir
      2,269,730 100%               - pel-profile-indent
      2,269,730 100%                - pel-profile-indentation-test-of
            808   0%                           - seed7--safe-current-line-defun-start-indent
            808   0%                            - seed7-to-block-backward
            808   0%                             - seed7-re-search-backward
            808   0%                              - run-with-timer
            808   0%                               - run-at-time
            312   0%                                - timer-activate
            312   0%                                 - timer--activate
            312   0%                                    timer--time-less-p
            304   0%                                  timer-relative-time
            192   0%                                - timer-set-time
            192   0%                                   timer--time-setter
        108,576   4%                          - seed7-comment-column
        105,504   4%                           - seed7-calc-indent
         18,184   0%                            - seed7-line-inside-array-definition-block
         18,184   0%                             - seed7-re-search-backward
         16,968   0%                              - run-with-timer
         16,968   0%                               - run-at-time
          6,552   0%                                - timer-activate
          6,552   0%                                 - timer--activate
          6,552   0%                                    timer--time-less-p
          6,384   0%                                  timer-relative-time
          4,032   0%                                - timer-set-time
          4,032   0%                                   timer--time-setter
          1,216   0%                                re-search-backward
         17,992   0%                            - seed7-line-inside-set-definition-block
         17,992   0%                             - seed7-re-search-backward
         16,968   0%                              - run-with-timer
         16,968   0%                               - run-at-time
          6,552   0%                                - timer-activate
          6,552   0%                                 - timer--activate
          6,552   0%                                    timer--time-less-p
          6,384   0%                                  timer-relative-time
          4,032   0%                                - timer-set-time
          4,032   0%                                   timer--time-setter
          1,024   0%                                re-search-backward
         17,992   0%                            - seed7-line-inside-assign-statement-continuation
         17,992   0%                             - seed7-assign-op-pos
         17,992   0%                              - seed7-re-search-backward
         16,968   0%                               - run-with-timer
         16,968   0%                                - run-at-time
          6,552   0%                                 - timer-activate
          6,552   0%                                  - timer--activate
          6,552   0%                                     timer--time-less-p
          6,384   0%                                   timer-relative-time
          4,032   0%                                 - timer-set-time
          4,032   0%                                    timer--time-setter
