      3,552,673 100% - ...
      3,552,673 100%  - #<primitive-function call-interactively>
      3,552,673 100%   - funcall-interactively
      3,552,673 100%    - smex
      3,552,673 100%     - smex-read-and-run
      3,552,673 100%      - execute-extended-command
      3,552,673 100%       - command-execute
      3,552,673 100%        - call-interactively
      3,552,673 100%         - apply
      3,552,673 100%          - call-interactively@ido-cr+-record-current-command
      3,552,673 100%           - #<primitive-function call-interactively>
      3,552,673 100%            - funcall-interactively
      3,552,673 100%             - pel-profile-all
      3,552,673 100%              - pel-profile-dir
      3,552,673 100%               - pel-profile-indent
      3,552,673 100%                - pel-profile-indentation-test-of
         18,880   0%                               - timer--activate
         18,880   0%                                  timer--time-less-p
         12,160   0%                                timer-relative-time
          7,680   0%                              - timer-set-time
          7,680   0%                                 timer--time-setter
         35,840   1%                              re-search-backward
         74,560   2%                          - seed7-line-inside-assign-statement-continuation
         74,560   2%                           - seed7-assign-op-pos
         74,560   2%                            - seed7-re-search-backward
         38,720   1%                             - run-with-timer
         38,720   1%                              - run-at-time
         18,880   0%                               - timer-activate
         18,880   0%                                - timer--activate
         18,880   0%                                   timer--time-less-p
         12,160   0%                                 timer-relative-time
          7,680   0%                               - timer-set-time
          7,680   0%                                  timer--time-setter
         35,840   1%                               re-search-backward
         57,768   1%                          - seed7-line-inside-until-logic-expression
         57,768   1%                           - seed7-re-search-backward
         29,696   0%                              re-search-backward
         28,072   0%                            - run-with-timer
         28,072   0%                             - run-at-time
         13,688   0%                              - timer-activate
         13,688   0%                               - timer--activate
         13,688   0%                                  timer--time-less-p
          8,816   0%                                timer-relative-time
          5,568   0%                              - timer-set-time
          5,568   0%                                 timer--time-setter
         57,768   1%                          - seed7-line-inside-func-return-statement
         57,768   1%                           - seed7-re-search-backward
         29,696   0%                              re-search-backward
         28,072   0%                            - run-with-timer
         28,072   0%                             - run-at-time
         13,688   0%                              - timer-activate
         13,688   0%                               - timer--activate
         13,688   0%                                  timer--time-less-p
          8,816   0%                                timer-relative-time
          5,568   0%                              - timer-set-time
          5,568   0%                                 timer--time-setter
         37,888   1%                            seed7-line-starts-with
         37,888   1%                          - seed7-line-after-func-return-logic-operator-column
          2,048   0%                           - seed7-move-to-line
          2,048   0%                              seed7-to-previous-non-empty-line
         35,840   1%                          - seed7-line-isa-string
         35,840   1%                             seed7-line-starts-with
         28,960   0%                            seed7--indent-search-boundary
         17,760   0%                          - seed7-line-at-endof-array-definition-block
         17,760   0%                           - seed7-line-code-ends-with
         17,760   0%                            - seed7-re-search-backward
         11,616   0%                             - run-with-timer
         11,616   0%                              - run-at-time
          5,664   0%                               - timer-activate
          5,664   0%                                - timer--activate
          5,664   0%                                   timer--time-less-p
          3,648   0%                                 timer-relative-time
          2,304   0%                               - timer-set-time
          2,304   0%                                  timer--time-setter
          6,144   0%                               re-search-backward
         15,321   0%                            seed7-line-after-short-func-end
         11,616   0%                          - seed7-line-at-endof-set-definition-block
         11,616   0%                           - seed7-line-code-ends-with
         11,616   0%                            - seed7-re-search-backward
         11,616   0%                             - run-with-timer
         11,616   0%                              - run-at-time
          5,664   0%                               - timer-activate
          5,664   0%                                - timer--activate
          5,664   0%                                   timer--time-less-p
          3,648   0%                                 timer-relative-time
          2,304   0%                               - timer-set-time
          2,304   0%                                  timer--time-setter
          6,144   0%                          - seed7-line-starts-with-open-paren-after-logic-operator
          6,144   0%                             seed7-line-starts-with
          6,144   0%                            seed7-line-indent-step
      1,561,084  43%                   profiler-stop
