  1,240,035,821  99% - ...
         87,184   0%                             - seed7-line-inside-set-definition-block
         62,608   0%                              - seed7-re-search-backward
         35,136   0%                                 re-search-backward
         27,472   0%                               - run-with-timer
         27,472   0%                                - run-at-time
         10,608   0%                                 - timer-activate
         10,608   0%                                  - timer--activate
         10,608   0%                                     timer--time-less-p
         10,336   0%                                   timer-relative-time
          6,528   0%                                 - timer-set-time
          6,528   0%                                    timer--time-setter
         24,576   0%                              - forward-sexp
         24,576   0%                                 seed7--forward-sexp-function
         83,664   0%                             - seed7-line-inside-array-definition-block
         62,928   0%                              - seed7-re-search-backward
         35,456   0%                                 re-search-backward
         27,472   0%                               - run-with-timer
         27,472   0%                                - run-at-time
         10,608   0%                                 - timer-activate
         10,608   0%                                  - timer--activate
         10,608   0%                                     timer--time-less-p
         10,336   0%                                   timer-relative-time
          6,528   0%                                 - timer-set-time
          6,528   0%                                    timer--time-setter
         20,736   0%                              - forward-sexp
         20,736   0%                                 seed7--forward-sexp-function
         62,288   0%                             - seed7-line-inside-assign-statement-continuation
         62,288   0%                              - seed7-assign-op-pos
         62,288   0%                               - seed7-re-search-backward
         34,816   0%                                  re-search-backward
         27,472   0%                                - run-with-timer
         27,472   0%                                 - run-at-time
         10,608   0%                                  - timer-activate
         10,608   0%                                   - timer--activate
         10,608   0%                                      timer--time-less-p
         10,336   0%                                    timer-relative-time
          6,528   0%                                  - timer-set-time
          6,528   0%                                     timer--time-setter
         55,160   0%                             - seed7-line-at-endof-set-definition-block
         53,328   0%                              - seed7-line-code-ends-with
         53,328   0%                               - seed7-re-search-backward
         53,328   0%                                - run-with-timer
         53,328   0%                                 - run-at-time
         20,592   0%                                  - timer-activate
         20,592   0%                                   - timer--activate
         20,592   0%                                      timer--time-less-p
         20,064   0%                                    timer-relative-time
         12,672   0%                                  - timer-set-time
         12,672   0%                                     timer--time-setter
          1,024   0%                                looking-at
            808   0%                              - seed7-re-search-backward
            808   0%                               - run-with-timer
            808   0%                                - run-at-time
            312   0%                                 - timer-activate
            312   0%                                  - timer--activate
            312   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
         34,816   0%                             - seed7-line-isa-string
         34,816   0%                                seed7-line-starts-with
         34,816   0%                               seed7-line-starts-with
         21,504   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
         21,504   0%                                seed7-line-starts-with
         21,504   0%                               seed7-line-indent-step
         19,440   0%                             - seed7--current-line-nth-word
         19,440   0%                              - thing-at-point
         11,256   0%                               - bounds-of-thing-at-point
          8,184   0%                                - #<byte-code-function 7D3>
          8,184   0%                                 - forward-thing
          8,184   0%                                    format
          3,072   0%                                  re-search-forward
          8,320   0%                               seed7-line-after-func-return-logic-operator-column
    232,516,825  18%                          - seed7-line-is-defun-end
     88,598,293   7%                           - seed7-end-of-defun
     76,039,640   6%                            - seed7-top-block-name
     75,914,112   6%                             - seed7--to-top
     74,772,496   6%                              - seed7-re-search-backward
     74,772,496   6%                               - run-with-timer
     74,772,496   6%                                - run-at-time
     36,434,768   2%                                 - timer-activate
     36,434,768   2%                                  - timer--activate
     36,434,768   2%                                     timer--time-less-p
     23,497,280   1%                                   timer-relative-time
     14,840,448   1%                                 - timer-set-time
     14,840,448   1%                                    timer--time-setter
      1,141,616   0%                              - run-with-timer
      1,141,616   0%                               - run-at-time
        535,504   0%                                - timer-activate
        535,504   0%                                 - timer--activate
        535,504   0%                                    timer--time-less-p
        371,488   0%                                  timer-relative-time
        234,624   0%                                - timer-set-time
        234,624   0%                                   timer--time-setter
        125,528   0%                             - seed7--block-name
         68,240   0%                                match-string
      5,303,232   0%                              match-string-no-properties
      2,882,488   0%                              match-string
      2,140,952   0%                            - seed7-re-search-forward
      1,260,431   0%                             - seed7-inside-comment-p
      1,260,431   0%                              - syntax-ppss
      1,260,431   0%                               - syntax-propertize
      1,260,431   0%                                  seed7-mode-syntax-propertize
         24,798   0%                             - internal--syntax-propertize
         24,798   0%                              - syntax-propertize
         24,798   0%                                 seed7-mode-syntax-propertize
      1,134,896   0%                            - seed7-re-search-backward
      1,134,896   0%                             - run-with-timer
      1,134,896   0%                              - run-at-time
        528,784   0%                               - timer-activate
        528,784   0%                                - timer--activate
        528,784   0%                                   timer--time-less-p
        371,488   0%                                 timer-relative-time
        234,624   0%                               - timer-set-time
        234,624   0%                                  timer--time-setter
     68,841,372   5%                           - seed7-beg-of-defun
     56,438,195   4%                            - seed7-re-search-backward
     55,114,845   4%                             - run-with-timer
     55,114,845   4%                              - run-at-time
     26,713,613   2%                               - timer-activate
     26,713,613   2%                                - timer--activate
     26,713,613   2%                                   timer--time-less-p
     17,394,464   1%                                 timer-relative-time
     10,990,192   0%                               - timer-set-time
     10,990,192   0%                                  timer--time-setter
         16,576   0%                                 timer-create
      1,261,190   0%                               re-search-backward
         41,440   0%                             - seed7-inside-string-p
          4,144   0%                              - syntax-ppss
          4,144   0%                                 make-closure
         12,432   0%                             - seed7-inside-comment-p
          4,144   0%                              - syntax-ppss
          4,144   0%                                 make-closure
          8,288   0%                               make-closure
      2,815,296   0%                              match-string-no-properties
      2,563,064   0%                            - seed7-re-search-backward-closest
      2,563,064   0%                             - seed7-re-search-backward
      1,649,704   0%                                re-search-backward
        913,360   0%                              - run-with-timer
        913,360   0%                               - run-at-time
        412,400   0%                                - timer-activate
        412,400   0%                                 - timer--activate
        412,400   0%                                    timer--time-less-p
        307,040   0%                                  timer-relative-time
        193,920   0%                                - timer-set-time
        193,920   0%                                   timer--time-setter
      2,508,783   0%                            - seed7-top-block-name
      1,300,776   0%                             - seed7--to-top
        923,624   0%                              - seed7-re-search-backward
        548,552   0%                                 re-search-backward
        375,072   0%                               - run-with-timer
        375,072   0%                                - run-at-time
        174,688   0%                                 - timer-activate
        174,688   0%                                  - timer--activate
        174,688   0%                                     timer--time-less-p
        122,816   0%                                   timer-relative-time
         77,568   0%                                 - timer-set-time
         77,568   0%                                    timer--time-setter
        377,152   0%                              - run-with-timer
        377,152   0%                               - run-at-time
        176,768   0%                                - timer-activate
        176,768   0%                                 - timer--activate
        176,768   0%                                    timer--time-less-p
        122,816   0%                                  timer-relative-time
         77,568   0%                                - timer-set-time
         77,568   0%                                   timer--time-setter
      1,208,007   0%                             - seed7--block-name
      1,196,831   0%                                seed7-re-search-forward
         11,176   0%                                match-string
      1,213,120   0%                              match-string
         16,368   0%                            - user-error
         16,368   0%                               format-message
          8,184   0%                              seed7--no-defun-found-msg-for
     36,081,458   2%                             looking-back
     25,715,819   2%                           - seed7-line-starts-with-any
     25,715,819   2%                              seed7-line-starts-with
     10,380,208   0%                           - seed7-move-to-line
     10,380,208   0%                            - seed7-to-previous-non-empty-line
          4,144   0%                               seed7-inside-comment-p
      2,006,953   0%                           - seed7--current-line-nth-word
      2,006,953   0%                            - thing-at-point
      1,434,864   0%                             - bounds-of-thing-at-point
        793,848   0%                              - #<byte-code-function D92>
        793,848   0%                               - forward-thing
        793,848   0%                                  format
        401,016   0%                              - #<byte-code-function 2A3>
        401,016   0%                               - forward-thing
        401,016   0%                                  format
        206,848   0%                                re-search-forward
         20,720   0%                                make-closure
         12,432   0%                              - seq-some
         12,432   0%                                 make-closure
        880,290   0%                           - seed7--safe-current-line-defun-start-indent
        880,290   0%                            - seed7-to-block-backward
        810,810   0%                             - seed7-re-search-backward
        448,322   0%                                re-search-backward
        362,488   0%                              - run-with-timer
        362,488   0%                               - run-at-time
        168,552   0%                                - timer-activate
        168,552   0%                                 - timer--activate
        168,552   0%                                    timer--time-less-p
        118,864   0%                                  timer-relative-time
         75,072   0%                                - timer-set-time
