  6,213,940,273  99% - ...
    616,175,907   9%                          - seed7-line-inside-a-block-cached
    615,960,552   9%                           - seed7-line-inside-a-block
    409,587,772   6%                            - seed7--safe-enclosing-block-bounds
    407,427,961   6%                             - seed7--block-end-pos-for
    407,115,983   6%                              - seed7-to-block-forward
    264,956,797   4%                               - seed7-end-of-defun
    262,339,109   4%                                - seed7-top-block-name
    261,612,338   4%                                 - seed7--to-top
    260,560,034   4%                                  - seed7-re-search-backward
    207,755,850   3%                                   - run-with-timer
    207,755,850   3%                                    - run-at-time
     98,043,210   1%                                     - timer-activate
     98,043,210   1%                                      - timer--activate
     98,043,210   1%                                         timer--time-less-p
     59,245,191   0%                                       timer-relative-time
     39,468,721   0%                                     - timer-set-time
     39,467,472   0%                                        timer--time-setter
     10,998,176   0%                                       timer-create
            552   0%                                       timer-set-function
     36,049,664   0%                                   - seed7-inside-string-p
      5,508,384   0%                                    - syntax-ppss
      5,478,368   0%                                       make-closure
         29,008   0%                                     - parse-partial-sexp
         29,008   0%                                      - internal--syntax-propertize
         16,576   0%                                       - syntax-propertize
          4,144   0%                                          seed7-mode-syntax-propertize
            113   0%                                       syntax-table
     11,581,970   0%                                   - seed7-inside-comment-p
      5,436,418   0%                                    - syntax-ppss
      5,370,624   0%                                       make-closure
         64,303   0%                                     - syntax-propertize
         56,015   0%                                        seed7-mode-syntax-propertize
          1,284   0%                                       syntax-table
      5,093,701   0%                                     make-closure
         77,237   0%                                     re-search-backward
      1,019,152   0%                                  - run-with-timer
      1,019,152   0%                                   - run-at-time
        482,464   0%                                    - timer-activate
        482,464   0%                                     - timer--activate
        482,464   0%                                        timer--time-less-p
        285,760   0%                                      timer-relative-time
        188,768   0%                                    - timer-set-time
        188,768   0%                                       timer--time-setter
         62,160   0%                                      timer-create
         33,152   0%                                    make-closure
        681,187   0%                                 - seed7--block-name
        627,731   0%                                  - seed7-re-search-forward
        310,800   0%                                   - seed7-inside-string-p
         29,008   0%                                    - syntax-ppss
         29,008   0%                                       make-closure
         58,016   0%                                   - seed7-inside-comment-p
         45,584   0%                                    - syntax-ppss
         41,440   0%                                       make-closure
          4,144   0%                                     - syntax-propertize
          4,144   0%                                        seed7-mode-syntax-propertize
         16,368   0%                                    match-string
      1,332,064   0%                                - seed7-re-search-backward
        963,248   0%                                 - run-with-timer
        963,248   0%                                  - run-at-time
        447,280   0%                                   - timer-activate
        447,280   0%                                    - timer--activate
        447,280   0%                                       timer--time-less-p
        285,760   0%                                     timer-relative-time
        192,912   0%                                   - timer-set-time
        192,912   0%                                      timer--time-setter
         37,296   0%                                     timer-create
        290,080   0%                                 - seed7-inside-string-p
         29,008   0%                                  - syntax-ppss
         29,008   0%                                     make-closure
         41,440   0%                                   make-closure
         37,296   0%                                 - seed7-inside-comment-p
         12,432   0%                                  - syntax-ppss
         12,432   0%                                     make-closure
        846,000   0%                                - seed7-re-search-forward
        284,423   0%                                 - internal--syntax-propertize
        284,423   0%                                  - syntax-propertize
        280,279   0%                                     seed7-mode-syntax-propertize
        128,464   0%                                 - seed7-inside-string-p
         33,152   0%                                  - syntax-ppss
         33,152   0%                                     make-closure
         57,920   0%                                 - seed7-inside-comment-p
         41,344   0%                                  - syntax-ppss
         33,152   0%                                     make-closure
          8,192   0%                                   - syntax-propertize
          8,192   0%                                      seed7-mode-syntax-propertize
         49,104   0%                                  match-string
     77,272,709   1%                               - seed7--current-line-nth-word
     72,313,862   1%                                - thing-at-point
     66,881,942   1%                                 - bounds-of-thing-at-point
     25,759,644   0%                                    make-closure
     13,979,699   0%                                  - #<byte-code-function D84>
     13,970,804   0%                                   - forward-thing
     13,959,072   0%                                      format
         11,732   0%                                      intern-soft
      7,050,192   0%                                  - seq-some
      7,044,800   0%                                     make-closure
          5,392   0%                                     seq-do
      5,802,958   0%                                  - #<byte-code-function D53>
      5,802,170   0%                                   - forward-thing
      5,800,840   0%                                      format
          1,330   0%                                      intern-soft
      1,260,713   0%                                    re-search-forward
     34,595,805   0%                               - seed7-re-search-forward
     13,066,574   0%                                - seed7-inside-comment-p
     10,617,470   0%                                 - syntax-ppss
      7,650,869   0%                                  - syntax-propertize
      7,468,533   0%                                   - seed7-mode-syntax-propertize
          2,237   0%                                      #<byte-code-function 87F>
      2,962,960   0%                                    make-closure
          3,086   0%                                    syntax-table
            313   0%                                    #<byte-code-function 1D0>
     11,331,203   0%                                - seed7-inside-string-p
      2,699,251   0%                                 - syntax-ppss
